key,screens,English,Hindi,Hinglish,audit flags,review status
ekagra_ranked_unavailable,EkagraScreen,Ranked time is unavailable. Your personal time is still saved.,रैंकिंग का समय उपलब्ध नहीं है। आपकी पढ़ाई का समय फिर भी सहेजा गया है।,Ranked time abhi available nahi hai. Personal time phir bhi save hota hai.,,Needs human review
ekagra_ready,EkagraTimerTab,Ready to focus,पढ़ाई शुरू करने के लिए तैयार,Focus start karein,,Needs human review
ekagra_ready_break,EkagraTimerTab,Ready for a break,ब्रेक के लिए तैयार,Break ke liye ready,,Needs human review
ekagra_ready_pomodoro,EkagraTimerTab,Ready for Pomodoro,पोमोडोरो के लिए तैयार,Pomodoro ke liye ready,,Needs human review
ekagra_ready_start,EkagraTimerTab,Ready to start,शुरू करने के लिए तैयार,shuru karne ke liye ready,,Needs human review
ekagra_remove_subject,EkagraTagSelector,Remove subject,विषय हटाएँ,Subject hataayein,,Needs human review
ekagra_remove_subject_body,EkagraTagSelector,Remove subject body %1$s,“%1$s” हटाएँ? पुराने सेशन में इसका नाम बना रहेगा।,“%1$s” hataayein? purane sessions par yeh label rahega.,,Needs human review
ekagra_rename_session,EkagraHistoryTab,Rename session,सेशन का नाम बदलें,session ka naam badlein,,Needs human review
ekagra_reset,,Reset,रीसेट,Reset,,Needs human review
ekagra_retry_save,EkagraHistoryTab,Retry save,फिर से सहेजें,Retry save,,Needs human review
ekagra_retry_sync,EkagraHistoryTab,Retry sync,फिर से सिंक करें,Retry sync,,Needs human review
ekagra_running,EkagraTimerTab,Ekagra running,एकाग्र चल रहा है,Ekagra chal raha hai,,Needs human review
ekagra_save_action,EkagraSheets,Save,सहेजें,Save,,Needs human review
ekagra_save_body,EkagraSheets,Your study time will be saved.,आपकी पढ़ाई का समय सहेजा जाएगा।,Study time save ho jayega.,,Needs human review
ekagra_save_goal_completed,EkagraSheets,"Your session will appear in Ekagra history, linked to this goal. The goal will also appear in Goals → Completed.",आपका सेशन इस लक्ष्य से जुड़कर एकाग्र के इतिहास में दिखेगा। लक्ष्य → पूरा हुआ में भी यह लक्ष्य दिखेगा।,Session Ekagra history mein is goal ke saath dikhega. Goal Goals → Completed mein bhi dikhega.,,Needs human review
ekagra_save_goal_open,EkagraSheets,"Your session will appear in Ekagra history, linked to this goal. The goal stays active for your next session.",आपका सेशन इस लक्ष्य से जुड़कर एकाग्र के इतिहास में दिखेगा। लक्ष्य अगले सेशन के लिए चालू रहेगा।,Session Ekagra history mein is goal ke saath dikhega. Goal agle session ke liye active rahega.,,Needs human review
ekagra_save_history_body,EkagraSheets,Your study time will be saved to your Ekagra history.,आपकी पढ़ाई का समय एकाग्र के इतिहास में सहेजा जाएगा।,Study time Ekagra history mein save ho jayega.,,Needs human review
ekagra_save_session,EkagraSheets,Save session,सेशन सहेजें,Save Session,,Needs human review
ekagra_save_session_question,EkagraSheets,Save this session?,यह सेशन सहेजें?,Is session ko save karna hai?,,Needs human review
ekagra_save_to_history,EkagraSheets,Save this session to your Ekagra history.,इस सेशन को एकाग्र के इतिहास में सहेजें।,Is session ko Ekagra history mein save karein.,,Needs human review
ekagra_save_to_named_question,EkagraSheets,Save to “%1$s”?,“%1$s” में सहेजें?,“%1$s” mein save karna hai?,,Needs human review
ekagra_save_topic_completed,EkagraSheets,Your study time will be saved and this topic will be marked completed in Exam Planner.,आपकी पढ़ाई का समय सहेजा जाएगा और एग्ज़ाम प्लानर में यह विषय पूरा हुआ चिह्नित हो जाएगा।,Study time save ho jayega aur yeh topic Exam Planner mein completed mark ho jayega.,,Needs human review
ekagra_save_topic_open,EkagraSheets,Your study time will be saved to this Exam Planner topic. The topic stays open.,आपकी पढ़ाई का समय एग्ज़ाम प्लानर के इस विषय में सहेजा जाएगा। विषय अभी पूरा चिह्नित नहीं होगा।,Study time is Exam Planner topic mein save ho jayega. Topic open rahega.,,Needs human review
ekagra_saved_waiting_sync,EkagraHistoryTab,Saved on this phone · Waiting to sync,इस फ़ोन पर सहेजा गया · सिंक होना बाकी है,Is phone mein save hai · Sync hone ka wait hai,,Needs human review
ekagra_saving_study_time,TopicStudySaveSheet,Saving study time…,पढ़ाई का समय सहेजा जा रहा है…,Study time save ho raha hai…,,Needs human review
ekagra_select_goal_to_link,EkagraSheets,Select a goal to link,जोड़ने के लिए लक्ष्य चुनें,Link karne ke liye goal select karein,,Needs human review
ekagra_select_tag_color,EkagraTagSelector,Select a color for this tag:,इस टैग के लिए रंग चुनें:,is tag ke liye rang chunein:,,Needs human review
ekagra_session_complete,EkagraSheets,Session complete,सेशन पूरा हुआ,session poora hua,,Needs human review
ekagra_session_name,EkagraHistoryTab,Session name,सेशन का नाम,session ka naam,,Needs human review
ekagra_session_name_placeholder,,Session name placeholder,सेशन का नाम लिखें…,Session ka naam likhein…,,Needs human review
ekagra_session_name_prompt,EkagraSheets,What were you working on?,आप किस चीज़ पर काम कर रहे थे?,aap kis cheez par kam kar rahe the?,,Needs human review
ekagra_session_name_sentence,EkagraSheets,Session name,सेशन का नाम,session ka naam,,Needs human review
ekagra_session_saved,EkagraSheets,SESSION SAVED,सेशन सहेज लिया गया,session save ho gaya,,Needs human review
ekagra_sessions,EkagraHistoryTab,Sessions,सेशन्स,Sessions,,Needs human review
ekagra_sessions_completed,,Sessions completed %1$d,%1$d सेशन पूरे हुए,%1$d sessions pure,,Needs human review
ekagra_set_duration_body,EkagraScreen,Want to choose how long you’ll focus before you begin?,शुरू करने से पहले तय करना चाहेंगे कि कितनी देर पढ़ेंगे?,shuru karne se pehle tay karna hai ki kitni der focus karenge?,,Needs human review
ekagra_set_duration_question,EkagraScreen,Set a focus time?,पढ़ाई का समय तय करें?,Focus time set karein?,,Needs human review
ekagra_set_rhythm,EkagraDurationTab,Set your rhythm,अपनी पढ़ाई का समय तय करें,apna rhythm set karein,,Needs human review
ekagra_shield_active,EkagraTimerTab,SHIELD ACTIVE,कवच चालू है,SHIELD ACTIVE,,Needs human review
ekagra_show_label,EkagraHistoryTab,SHOW,दिखाएँ,SHOW,,Needs human review
ekagra_show_more,EkagraHistoryTab,Show more,और दिखाएँ,Show more,,Needs human review
ekagra_song,,Song,संगीत,Music,,Needs human review
ekagra_song_binaural,,Binaural Beats,बाइनॉरल बीट्स,binaural beats,,Needs human review
ekagra_song_forest,,Forest Ambience,जंगल का वातावरण,jungle ka mahaul,,Needs human review
ekagra_song_lofi,,Lo-Fi Music,लो-फाई संगीत,Lo-Fi Music,,Needs human review
ekagra_song_rain,,Rain Sounds,बारिश की आवाज़,Rain Sounds,,Needs human review
ekagra_song_silence,,Silence,मौन,silence,,Needs human review
ekagra_start,,Start,शुरू करें,Start,,Needs human review
ekagra_start_anyway,EkagraScreen,Start anyway,फिर भी शुरू करें,Start anyway,,Needs human review
ekagra_start_break,,Start Break,ब्रेक शुरू करें,Start Break,,Needs human review
ekagra_start_pomodoro,EkagraDurationTab,Start Pomodoro,पोमोडोरो शुरू करें,Start Pomodoro,,Needs human review
ekagra_stat_avg_session,,Avg Session,औसत सेशन,Average session,,Needs human review
ekagra_stat_focus_time,,Ekagra Time,एकाग्रता समय,Ekagra time,,Needs human review
ekagra_stat_sessions,,Sessions,सेशन,Sessions,,Needs human review
ekagra_stopwatch_running,EkagraTimerTab,Stopwatch running,स्टॉपवॉच चल रही है,Stopwatch chal raha hai,,Needs human review
ekagra_study_finished,TopicStudySaveSheet,Study finished,पढ़ाई पूरी हुई,padhai poori hui,,Needs human review
ekagra_study_saved,TopicStudySaveSheet,✓ Study time saved,✓ पढ़ाई का समय सहेज लिया गया,✓ Study time save ho gaya,,Needs human review
ekagra_study_saved_error,TopicStudySaveSheet,Did you finish this topic? %1$s,क्या आपने यह विषय पूरा कर लिया?\n%1$s,Kya aapne yeh topic complete kar liya?\n%1$s,,Needs human review
ekagra_study_saved_offline,TopicStudySaveSheet,✓ Study time saved,✓ पढ़ाई का समय इस फ़ोन पर सहेज लिया गया\nइंटरनेट मिलने पर प्रगति अपने-आप अपडेट होगी।,✓ Study time save ho gaya\nOffline hain to progress baad mein update hoga.,,Needs human review
ekagra_studying_youtube,EkagraTimerTab,Studying on YouTube?,YouTube पर पढ़ रहे हैं?,YouTube par padh rahe hain?,Latin text in Hindi: inspect names/technical terms,Needs human review
ekagra_subject_examples,EkagraTagSelector,Subject examples,"जैसे भौतिक विज्ञान, जीव विज्ञान","jaise Physics, Biology",,Needs human review
ekagra_subject_name,EkagraTagSelector,Subject name,विषय का नाम,Subject ka naam,,Needs human review
ekagra_subject_optional,,Subject optional,विषय / टैग (वैकल्पिक),Subject / tag (optional),,Needs human review
ekagra_subject_overview,,Subject overview %1$s,%1$s का सारांश,%1$s overview,,Needs human review
ekagra_subject_tag_optional,EkagraSheets,Subject or tag (optional),विषय या टैग (वैकल्पिक),Subject ya tag (optional),,Needs human review
ekagra_subject_value,,Subject value %1$s,विषय: %1$s,Subject: %1$s,,Needs human review
ekagra_tab_analytics,,Analytics,विश्लेषण,Analytics,,Needs human review
ekagra_tab_break,,Break,ब्रेक,Break,,Needs human review
ekagra_tab_timer,,Timer,टाइमर,Timer,,Needs human review
ekagra_tag_color,EkagraTagSelector,Tag Color,टैग का रंग,tag ka rang,,Needs human review
ekagra_tag_color_named,EkagraTagSelector,Tag Color: %1$s,टैग का रंग: %1$s,tag ka rang: %1$s,,Needs human review
ekagra_take_break_buddy,EkagraDurationTab,A single Ekagra session can be up to 18 hours.,एकाग्र सेशन की अधिकतम अवधि 18 घंटे है।,Ek Ekagra session 18 ghante tak chal sakta hai.,,Needs human review
ekagra_theme,,Theme,थीम,Theme,,Needs human review
ekagra_theme_desert,,Desert,रेगिस्तान,Desert,,Needs human review
ekagra_theme_forest,,Forest,जंगल,Forest,,Needs human review
ekagra_theme_minimal,,Minimal,सादा,Minimal,,Needs human review
ekagra_theme_night,,Night Sky,रात का आसमान,Night Sky,,Needs human review
ekagra_theme_ocean,,Ocean,सागर,Ocean,,Needs human review
ekagra_theme_title,EkagraModels; EkagraSheets,Theme,थीम,Theme,,Needs human review
ekagra_time_focused,EkagraSheets,%1$s focused,%1$s पढ़ाई की,%1$s focus kiya,,Needs human review
ekagra_timer_alert,EkagraDurationTab,Ekagra alerts,एकाग्र अलर्ट,Ekagra alert,,Needs human review
ekagra_timer_alert_help,EkagraDurationTab,"Phone sound or vibration for check-ins, endings, and Pomodoro changes","चेक-इन, सेशन खत्म होने और पोमोडोरो के चरण बदलने पर आवाज़ या कंपन","Check-in, session khatm hone aur Pomodoro badlav par phone ki sound ya vibration",,Needs human review
ekagra_timer_alert_style,EkagraDurationTab,Choose timer alert style,टाइमर अलर्ट का तरीका,Timer alert style,,Needs human review
ekagra_timer_paused,,Ekagra timer paused,एकाग्र टाइमर रुक गया,ekagra timer ruka gaya,,Needs human review
ekagra_title,EkagraDurationTab; EkagraModels,Ekagra,एकाग्र,Ekagra,,Needs human review
ekagra_today,EkagraHistoryTab,Today,आज,Today,,Needs human review
ekagra_total_focus_time,,Total focus time,पढ़ाई का कुल समय,Total Focus Time,,Needs human review
ekagra_total_time,,Total time,कुल समय,Total Time,,Needs human review
ekagra_total_value,,Total value %1$s,कुल: %1$s,kul: %1$s,,Needs human review
ekagra_try_youtube_focus,EkagraTimerTab,Try YouTube Focus,YouTube फ़ोकस आज़माएँ,YouTube Focus try karein,Latin text in Hindi: inspect names/technical terms,Needs human review
ekagra_undated,,Undated,बिना तारीख,Date nahi hai,,Needs human review
ekagra_unlabeled_session,,Unlabeled session,बिना नाम का सेशन,bina naam ka session,,Needs human review
ekagra_untagged_count,EkagraHistoryTab,Untagged (%1$d),बिना टैग (%1$d),Untagged (%1$d),,Needs human review
ekagra_untagged_help,,Untagged help %1$d,%1$d सेशन में विषय नहीं है। विषय जोड़ने के लिए सेशन खोलकर संपादित करें।,%1$d sessions mein subject nahi hai. jodne ke liye session par edit tap karein.,,Needs human review
ekagra_untagged_sessions,,Untagged sessions,बिना विषय वाले सेशन,bina subject waale sessions,,Needs human review
ekagra_untitled_topic,EkagraSheets,Untitled topic,बिना नाम का विषय,Bina naam ka topic,,Needs human review
ekagra_visual_theme_title,EkagraSheets,Visual theme,दृश्य थीम,Visual theme,,Needs human review
ekagra_volume_off,EkagraScreen,Volume Off,आवाज़ बंद,Volume Off,,Needs human review
ekagra_volume_on,EkagraScreen,Volume On,आवाज़ चालू,Volume On,,Needs human review
ekagra_worked_on_hint,EkagraSheets,What did you work on?,आपने किस पर काम किया?,apne kis par kam kiya?,,Needs human review
ekagra_yes,EkagraScreen,Yes,हाँ,Yes,,Needs human review
ekagra_yes_switch,EkagraScreen,"Yes, switch","हाँ, बदलें","Yes, switch",,Needs human review
ekagra_your_focus_sessions,,Your focus sessions,आपके पढ़ाई वाले सेशन,Focus Sessions,,Needs human review
ekagra_your_stopwatch_runs,,Your stopwatch runs,आपके स्टॉपवॉच सेशन,Stopwatch Runs,,Needs human review
ekagra_youtube,EkagraTimerTab,YouTube,YouTube,YouTube,Latin text in Hindi: inspect names/technical terms,Needs human review
err_name_not_resolved_message,,Could not connect to the payment page. Check your internet connection and try again.,पेमेंट पेज से कनेक्ट नहीं हो पाया। इंटरनेट कनेक्शन जाँचकर फिर से कोशिश करें।,Payment page se connect nahi ho paaya. Internet connection check karke phir se try karein.,,Needs human review
err_name_not_resolved_title,,Payment page unavailable,पेमेंट पेज उपलब्ध नहीं है,Payment page available nahi hai,,Needs human review
exit_confirm,ExitConfirmationHandler,Exit,बाहर जाएँ,baahar jaayein,,Needs human review
exit_message,ExitConfirmationHandler,Are you sure you want to exit?,क्या आप सच में बाहर जाना चाहते हैं?,kya aap saca mein baahar jana chahte hain?,,Needs human review
exit_stay,ExitConfirmationHandler,Stay,यहीं रहें,yahin rahein,,Needs human review
exit_title,ExitConfirmationHandler,Exit Safar?,Safar से बाहर जाएँ?,Safar se baahar jaayein?,Latin text in Hindi: inspect names/technical terms,Needs human review
filter_3_months,,3 Months,3 महीने,3 mahine,,Needs human review
filter_all_time,,All Time,अब तक का,ab tak ka,,Needs human review
filter_this_month,,This Month,इस महीने,is mahine,,Needs human review
filter_this_week,,This Week,इस सप्ताह,is saptaha,,Needs human review
filter_today,,Today,आज,aaj,,Needs human review
focus_shield_blocked_message,,%s is blocked while you study. Keep going!,%s आपके एकाग्रता या अध्ययन सत्र के दौरान ब्लॉक है। केंद्रित रहें!,%s aapke ekagrata ya adhyayan satra ke dauraan block hai. kendrit rahein!,,Needs human review
focus_shield_blocked_title,,App Blocked,ऐप ब्लॉक है,app block hai,,Needs human review
focus_shield_emergency_unlock,,Quick unlock,आपातकालीन अनलॉक,apatakalina unlock,,Needs human review
focus_shield_notification_listener_label,,Notification shield,नोटिफिकेशन कवच,notification Kavach,,Needs human review
goals_activates_on,GoalFormComponents,Activates on %1$s,यह goal %1$s से शुरू होगा,yeh goal %1$s se shuru hoga,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_active_count,,%d active goals,%d सक्रिय लक्ष्य,%d active goal,,Needs human review
goals_add_details_optional,GoalsScreen,Add details (optional),थोड़ी detail जोड़ें (optional),thodi detail jodein (optional),Latin text in Hindi: inspect names/technical terms,Needs human review
goals_add_goal,GoalListContent; GoalsScreen,Add a Goal,Goal add करें,Goal add karein,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_add_short,,Add,जोड़ें,jodein,,Needs human review
goals_add_to_get_started,GoalsScreen,add a goal to get started,शुरू करने के लिए goal जोड़ें,shuru karne ke liye goal jodein,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_all_caught_up,GoalListContent,All caught up! Time to plan more?,सब पूरा हो गया! और plan करना है?,sab poora ho gaya! aur plan karna hai?,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_analytics_completed_7d,,Completed (7d),पूरे हुए (7 दिन),pure hue (7 din),,Needs human review
goals_analytics_daily_breakdown,,Daily Breakdown,दैनिक ब्योरा,daily byora,,Needs human review
goals_analytics_focus_time,,Total Ekagra Time,कुल एकाग्रता समय,kul ekagrata samay,,Needs human review
goals_analytics_title,,Goal Completion — %s,लक्ष्य पूर्णता — %s,goal poornata — %s,,Needs human review
goals_analytics_velocity,,Completion Velocity,पूर्णता दर की गति,poornata dar ki gati,,Needs human review
goals_analytics_weekly_pulse,,Weekly Pulse,साप्ताहिक पल्स,weekly pulse,,Needs human review
goals_archive,GoalListContent,Archive,Archive करें,Archive karein,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_assigned_date,GoalListContent,Ekagra mode task %1$s,%1$s के लिए assigned,%1$s ke liye assigned,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_assigned_date_value,GoalsScreen,Original date unavailable %1$s,%1$s के लिए रखा,%1$s ke liye rakha,,Needs human review
goals_auto_repeat_help,GoalsScreen,Auto-repeat selected goals daily,ये आगे भी हर दिन दिखते रहेंगे।,ye aage bhi har din dikhate rahenge.,,Needs human review
goals_auto_repeat_selected,GoalsScreen,Auto-repeat selected goals daily,चुने goals रोज़ दोहराएँ,chune goals roz dohraayein,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_category_label,,"Category (e.g. Sleep, Mindfulness)","श्रेणी (जैसे: नींद, ध्यान)","sreni (jaise: neend, Dhyan)",,Needs human review
goals_choose_at_least_one,GoalsScreen,Choose at least one,कम से कम एक चुनें,kam se kam ek chunein,,Needs human review
goals_command_center,,Goals,लक्ष्य,Goals,,Needs human review
goals_complete_for_date,GoalsScreen,Complete for %1$s,%1$s के लिए पूरा करें,%1$s ke liye poora karein,,Needs human review
goals_complete_without_time,GoalsScreen,Complete without study time,Study time डाले बिना पूरा करें,Study time dale bina poora karein,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_completed,GoalsScreen,Completed,पूरा हुआ,poora hua,,Needs human review
goals_completed_count,GoalListContent,%1$d open manual goals,%1$d पूरे,%1$d pure,,Needs human review
goals_completed_on,,Completed %s,%s को पूरा हुआ,%s ko poora hua,,Needs human review
goals_completed_section,,Completed,पूरा हुआ,Completed,,Needs human review
goals_completed_tasks,GoalListContent,All caught up! Time to plan more? %1$d,Completed · %1$d tasks,Completed · %1$d tasks,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_completed_via_ekagra,GoalListContent,Completed via Ekagra,Ekagra से पूरा किया,Ekagra se poora kiya,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_completion_rate,GoalListContent,%1$d%% overall completion rate,%1$d%% overall completion rate,%1$d%% overall completion rate,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_count_of_total,GoalsScreen,%2$d of %1$d,%2$d में से %1$d,%2$d mein se %1$d,,Needs human review
goals_create_goal,GoalsScreen,Create Goal,Goal बनाएँ,Goal banayein,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_daily_progress,GoalListContent,Daily progress,Daily progress,Daily progress,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_default_today_pick_future,GoalsScreen,Default is Today. Tap to pick a future date.,अभी आज के लिए है। दूसरी date चुनने के लिए tap करें।,abhi aaj ke liye hai. doosri date chunne ke liye tap karein.,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_delete_body,GoalsScreen,Delete this goal? %1$s,“%1$s” 30 दिन तक Recently deleted में रहेगा।,“%1$s” 30 din tak Recently deleted mein rahega.,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_delete_title,GoalsScreen,Delete this goal?,यह goal delete करें?,yeh goal delete karein?,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_desc_label,,Description (optional),विवरण (वैकल्पिक),details (optional),,Needs human review
goals_done,,Done,संपन्न,poora,,Needs human review
goals_done_suffix,,done,पूरा,poora,,Needs human review
goals_done_today_count,GoalsScreen,%2$d of %1$d done today,आज %2$d में से %1$d पूरे,aaj %2$d mein se %1$d pure,,Needs human review
goals_done_today_label,GoalsScreen,goals done today,आज पूरे हुए goals,aaj pure hue goals,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_due,,Due %s,सीमा %s तक,seema %s tak,,Needs human review
goals_earlier_day_body,GoalsScreen,This goal is from an earlier day %1$s,यह %1$s के लिए था। इसे किस दिन में count करें?,yeh %1$s ke liye tha. ise kis din mein count karein?,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_earlier_day_title,GoalsScreen,This goal is from an earlier day,यह goal पिछले दिन का है,yeh goal pichhle din ka hai,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_edit_goal,GoalsScreen,Edit Goal,Goal बदलें,Goal badlein,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_ekagra_mode,GoalListContent,Ekagra Mode,Ekagra mode,Ekagra mode,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_ekagra_task,GoalListContent,Ekagra mode task,Ekagra mode task,Ekagra mode task,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_empty_subtitle,,Add your first goal to get started,शुरू करने के लिए पहला लक्ष्य जोड़ें,shuru karne ke liye pehla goal jodein,,Needs human review
goals_empty_title,,No goals yet,अभी कोई लक्ष्य नहीं है,abhi koi goal nahi hai,,Needs human review
goals_eyebrow,GoalsScreen,Goals,Goals,Goals,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_history,GoalsScreen,History,पुराने,purane,,Needs human review
goals_history_help,GoalHistoryTab,Goal history,"हर पूरा goal एक बार देखें, साथ में उसे पूरा करने वाले focus sessions भी।","har poora goal ek baar dekhein, saath mein use poora karne waale focus sessions bhi.",Latin text in Hindi: inspect names/technical terms,Needs human review
goals_history_title,GoalHistoryTab,Goal history,Goals की history,Goal History,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_insights,GoalsScreen,Insights,Insights,Insights,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_keep_it,GoalsScreen,Keep it,रहने दें,rehne dein,,Needs human review
goals_manual,GoalListContent,Manual,Manual,Manual,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_manual_goal,GoalListContent,Manual Goal,Manual goal,Manual Goal,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_mark_done,GoalListContent,Mark as done,Done mark करें,Done mark karein,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_missed,GoalListContent; GoalsScreen,Missed,Missed,Missed,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_missed_action_help,GoalListContent,This missed goal can be carried into today or archived.,इस missed goal को आज में लाएं या archive करें।,is missed goal ko aaj mein laayein ya archive karein.,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_missed_tasks,GoalListContent,No missed goals %1$d,Missed · %1$d tasks,Missed · %1$d tasks,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_move_to_recently_deleted,GoalsScreen,Move to Recently Deleted,Recently deleted में भेजें,Recently deleted mein bhejein,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_move_today_complete,GoalsScreen,Move to today and complete,आज में लाकर पूरा करें,aaj mein lakara poora karein,,Needs human review
goals_moved_to_recently_deleted,GoalsScreen,Goal moved to Recently Deleted,Goal Recently deleted में चला गया,Goal Recently deleted mein chala gaya,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_my_goals,GoalsScreen,My Goals,मेरे goals,My Goals,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_new_goal,GoalsScreen,New Goal,नया goal,New Goal,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_no_completed_for_date,GoalHistoryTab,No completed goals for this date.,इस date पर कोई पूरा goal नहीं है।,is date par koi poora goal nahi hai.,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_no_goals_today,GoalsScreen,You have no goals today.,आज कोई goal नहीं है।,aaj koi goal nahi hai.,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_no_goals_yesterday,GoalsScreen,You had no goals yesterday.,कल कोई goal नहीं था।,kal koi goal nahi tha.,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_no_missed,GoalListContent,No missed goals,कोई missed goal नहीं,koi missed goal nahi,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_no_missed_help,GoalListContent,No missed goals,Assigned date निकलने वाले goals यहाँ दिखेंगे।,Assigned date nikalane waale goals yahan dikhenge.,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_no_upcoming,GoalListContent,No upcoming tasks,कोई upcoming task नहीं,koi upcoming task nahi,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_no_upcoming_help,GoalListContent,No upcoming tasks,बाद के लिए कोई task scheduled नहीं है।,baad ke liye koi task scheduled nahi hai.,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_none_help,GoalListContent,No goals yet,Study plan शुरू करने के लिए एक goal add करें।,Study plan shuru karne ke liye ek goal add karein.,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_none_yet,GoalListContent,No goals yet,अभी कोई goal नहीं है,abhi koi goal nahi hai,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_nothing_planned_today,GoalsScreen,Nothing planned for today,आज के लिए कुछ plan नहीं है,aaj ke liye kuch plan nahi hai,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_nothing_today,GoalsScreen,goals done today,आज कुछ नहीं,aaj kuch nahi,,Needs human review
goals_open_manual_count,GoalListContent,%1$d open manual goals,%1$d open manual goals,%1$d open manual goals,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_original_date_unavailable,GoalsScreen,Original date unavailable,पुरानी date नहीं मिली,purani date nahi mili,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_pending,,Pending,बाकी है,baaki hai,,Needs human review
goals_pending_tasks,GoalListContent,All caught up! Time to plan more? %1$d,Pending · %1$d tasks,Pending · %1$d tasks,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_percent_complete,,%d%% complete,%d%% पूरा हुआ,%d%% poora hua,,Needs human review
goals_priority_label,,Priority,प्राथमिकता,priority,,Needs human review
goals_pro_tip,GoalListContent,Pro tip,Pro tip,Pro tip,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_pro_tip_body,GoalListContent,Pro tip,कभी-कभी बहुत करने से बेहतर है रोज़ थोड़ा progress। बड़े goals को छोटे Ekagra tasks में बाँटें।,Kabhi-kabhi bahut kuch ek saath karne se behtar hai roz thodi progress karna. Bade goals ko chhote Ekagra tasks mein baant dein.,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_recently_deleted,GoalsScreen,Recently deleted,हाल में delete किए,Recently Deleted,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_recently_deleted_empty,GoalsScreen,Nothing in Recently Deleted.,अभी यहाँ कुछ नहीं है।,abhi yahan kuch nahi hai.,,Needs human review
goals_recently_deleted_help,GoalsScreen,Nothing in Recently Deleted.,Delete किए goals यहाँ 30 दिन रहेंगे। Restore करने पर अपनी पुरानी date पर वापस आ जाएंगे।,Delete kiye goals yahan 30 din rahenge. Restore karne par apni purani date par wapas a jaayenge.,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_reopen,GoalListContent,Reopen,फिर खोलें,phir kholein,,Needs human review
goals_repeat_every_day,GoalsScreen,Repeat every day,हर दिन दोहराएँ,har din dohraayein,,Needs human review
goals_repeat_every_day_help,GoalsScreen,Repeat every day,हर दिन नया copy बनेगा। अधूरे goals Missed में रहेंगे।,har din naya copy banega. adhure goals Missed mein rahenge.,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_repeat_goals,GoalsScreen,Repeat goals,Goals दोहराएँ,Goals dohraayein,Latin text in Hindi: inspect names/technical terms,Needs human review
goals_repeat_selected_today,GoalsScreen,Choose at least one %1$d,चुने हुए %1$d आज फिर करें,chune hue %1$d aaj phir karein,,Needs human review
goals_repeat_selected_tomorrow,GoalsScreen,Choose at least one %1$d,चुने हुए %1$d कल फिर करें,chune hue %1$d kal phir karein,,Needs human review
goals_retry_today,GoalListContent,Retry Today,आज फिर करें,aaj phir karein,,Needs human review
